x_train|y_train|manifold
-12.435667289637365|-5.469509693456368|-5.148165145311156
-12.433153764161945|-4.9973348756362475|-5.1494000545381935
-12.392937356555235|-4.850008559733693|-5.16903379019238
-12.345180372522268|-4.788350833279733|-5.1919812084601915
-12.309991015866396|-5.46578166735625|-5.208575662920048
-12.269774608259686|-4.771937747578064|-5.227153845368984
-12.204422945898783|-5.682317295714322|-5.256307853637172
-12.149125385439556|-5.185226317024027|-5.279806250756273
-12.144098334488717|-5.64306541503617|-5.281883359452177
-12.1290171816362|-5.801826299659471|-5.2880520808267395
-12.030989688094845|-5.569085147969158|-5.325663545393266
-11.920394567176393|-4.356377313853991|-5.362175394683416
-11.905313414323876|-5.3075648339186285|-5.366608396163108
-11.872637583143424|-5.45319085843988|-5.375730617321943
-11.865097006717166|-4.905406740751358|-5.377739776702491
-11.8173400226842|-5.083174891187731|-5.389599145909874
-11.741934258421617|-5.93537315428355|-5.405132330191995
-11.72936663104452|-5.13470984690168|-5.407323366722679
-11.661501443208197|-5.515690175242093|-5.417095058733222
-11.603690357273551|-5.507833338332859|-5.42257098366029
-11.483041134453421|-5.284150269267465|-5.42504276109074
-11.329716080452839|-5.008524527047465|-5.409550154075776
-11.251796790714838|-5.327993527880323|-5.393252597222976
-11.226661535960645|-5.788192027115081|-5.386748719347776
-11.173877500976838|-5.111706311768414|-5.371084801825385
-11.018038921500837|-5.071785830499901|-5.308767141473017
-10.980336039369545|-4.626883140887554|-5.2900519198273495
-10.947660208189093|-4.864258244264638|-5.272682444181115
-10.947660208189093|-4.859805933148095|-5.272682444181115
-10.897389698680707|-5.409410830637787|-5.243878613587318
-10.791821628713093|-4.64595739321131|-5.175224954864521
-10.701334711597996|-4.725022084315387|-5.107690307035423
-10.620901896384575|-5.239270910093107|-5.041078514279071
-10.605820743532059|-4.834548826386331|-5.027913103236442
-10.5203608773678|-5.2051132200014685|-4.949375539369005
-10.490198571662766|-5.011937887363296|-4.9200919243423815
-10.48265799523651|-5.492878618959476|-4.912646128483252
-10.467576842383993|-4.51291158336579|-4.897606119234072
-10.414792807400186|-4.7638245004670905|-4.843430528404261
-10.382116976219734|-4.5889682206475255|-4.808721030110059
-10.341900568613024|-5.053183573210699|-4.7648054310373675
-10.31676531385883|-4.2963538824089955|-4.736703733018372
-10.296657110055476|-4.774413598073377|-4.71386786718645
-10.291630059104637|-4.262626594308469|-4.708110332395223
-10.271521855301282|-4.27193262162788|-4.684888379240473
-10.256440702448765|-4.682131982819808|-4.6672728457891095
-10.248900126022507|-4.644743674532776|-4.658401901433196
-10.243873075071669|-4.6948797486175256|-4.652464735796118
-10.223764871268314|-4.418726705858609|-4.628532332272553
-10.125737377726958|-4.16359691186049|-4.507819882057932
-10.060385715366055|-4.654373255334733|-4.423859548483208
-10.047818087988958|-4.342156869418057|-4.407415809700002
-10.00006110395599|-4.973801551963292|-4.344102932441513
-9.977439374677214|-4.444914414802744|-4.313673983082406
-9.964871747300117|-4.214369052427639|-4.296652304563515
-9.891979508512955|-4.23926534898657|-4.196379258253274
-9.861817202807924|-4.422571144938703|-4.154167452783644
-9.83668194805373|-3.816234341462414|-4.118695764828519
-9.83165489710289|-4.405444440064709|-4.111570610550623
-9.786411438545342|-4.110250243885449|-4.047008248552283
-9.680843368577728|-3.6887755787793406|-3.893697905598196
-9.648167537397276|-3.4333220523034123|-3.8456200109868863
-9.640626960971018|-4.585118954699813|-3.8344902849517712
-9.63559991002018|-4.710244333843586|-3.8270636761254773
-9.59035645146263|-3.910984970316861|-3.7600011630445467
-9.545112992905082|-3.4947822902148395|-3.6926013198142114
-9.532545365527985|-4.571207227954912|-3.673831610196384
-9.50741011077379|-3.1335429924646885|-3.6362432011092043
-9.50741011077379|-3.5510182952897567|-3.6362432011092043
-9.452112550314565|-3.3773906147217536|-3.553387460854175
-9.43200434651121|-3.680762890646266|-3.5232284961031715
-9.384247362478241|-3.0757536758305104|-3.451604178837453
